,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Classic Sparse ER,0.037001896649599075,0.0559772290289402,0.037001896649599075,0.037001896649599075,0.037001896649599075,0.052182164043188095,0.037001896649599075,0.05313092842698097,0.037001896649599075,0.037001896649599075,0.05407969653606415,0.04933586344122887,0.04933586344122887,0.047438330948352814,0.0559772290289402,0.037001896649599075,0.0559772290289402,0.04933586344122887,0.037001896649599075,0.04838709533214569,0.04838709533214569,0.04933586344122887,0.05313092842698097,0.04838709533214569,0.037001896649599075,0.04933586344122887,0.0559772290289402,0.05313092842698097,0.037001896649599075,0.04838709533214569,0.04364326223731041,0.037001896649599075,0.0559772290289402,0.04838709533214569,0.0559772290289402,0.037001896649599075,0.0559772290289402,0.0559772290289402,0.037001896649599075,0.052182164043188095,0.04933586344122887,0.04838709533214569,0.037001896649599075,0.037001896649599075,0.04838709533214569,0.04838709533214569
Cond Sparse ER w/o Selector,0.05407969653606415,0.08918406069278717,0.057874761521816254,0.057874761521816254,0.057874761521816254,0.05407969653606415,0.09867172688245773,0.057874761521816254,0.05407969653606415,0.057874761521816254,0.0759013295173645,0.057874761521816254,0.052182164043188095,0.057874761521816254,0.08254269510507584,0.057874761521816254,0.057874761521816254,0.09013282507658005,0.09867172688245773,0.057874761521816254,0.057874761521816254,0.08444022387266159,0.057874761521816254,0.057874761521816254,0.05882352963089943,0.057874761521816254,0.057874761521816254,0.05407969653606415,0.057874761521816254,0.057874761521816254,0.08254269510507584,0.057874761521816254,0.09108158946037292,0.052182164043188095,0.057874761521816254,0.0759013295173645,0.057874761521816254,0.057874761521816254,0.10436432808637619,0.057874761521816254,0.057874761521816254,0.05407969653606415,0.059772294014692307,0.0559772290289402,0.059772294014692307,0.08254269510507584
Cond Sparse ER,0.01161103043705225,0.025773195549845695,0.011862396262586117,0.014705882407724857,0.007343941368162632,0.010309278033673763,0.03139013424515724,0.005226480774581432,0.01092896144837141,0.01689189113676548,0.01689189113676548,0.00920245423913002,0.012544803321361542,0.014598540030419827,0.013793103396892548,0.010217113420367241,0.004987531341612339,0.017621144652366638,0.02358490601181984,0.019585253670811653,0.010714286006987095,0.018735362216830254,0.01165803149342537,0.016270337626338005,0.009661835618317127,0.017341040074825287,0.012614678591489792,0.007561436854302883,0.009685230441391468,0.012771392241120338,0.01656050980091095,0.013173652812838554,0.014814814552664757,0.01243339292705059,0.018498368561267853,0.008498583920300007,0.0055555556900799274,0.005722460802644491,0.006570302415639162,0.00890585221350193,0.0055350554175674915,0.01104972418397665,0.008207933977246284,0.015228426083922386,0.01797385700047016,0.017500000074505806
Cond SVM ER,0.01015965174883604,0.010309278033673763,0.009489917196333408,0.01696832664310932,0.00856793113052845,0.008591065183281898,0.013452914543449879,0.005226480774581432,0.01092896144837141,0.022522522136569023,0.01689189113676548,0.0061349691823124886,0.01075268816202879,0.013381995260715485,0.006896551698446274,0.007662835065275431,0.004987531341612339,0.013215859420597553,0.014150943607091904,0.016129031777381897,0.010714286006987095,0.017564402893185616,0.01424870453774929,0.017521902918815613,0.011272141709923744,0.011560693383216858,0.010321101173758507,0.007561436854302883,0.007263922598212957,0.017879948019981384,0.010191082954406738,0.019161676988005638,0.007407407276332378,0.008880994282662868,0.019586507230997086,0.009915013797581196,0.0055555556900799274,0.008583690971136093,0.006570302415639162,0.005089058540761471,0.0055350554175674915,0.005524862091988325,0.009575922973453999,0.010152284055948257,0.013071895577013493,0.013749999925494194
Coverage,0.6537001729011536,0.1840607225894928,0.7998102307319641,0.8387096524238586,0.7751423120498657,0.552182137966156,0.2115749567747116,0.544592022895813,0.5208728313446045,0.8425047397613525,0.8425047397613525,0.30929791927337646,0.5294117331504822,0.7798861265182495,0.5502846240997314,0.7428842186927795,0.7609108090400696,0.21537001430988312,0.20113851130008698,0.8235294222831726,0.7969639301300049,0.8102466464042664,0.7324478030204773,0.7580645084381104,0.589184045791626,0.1641366183757782,0.8273244500160217,0.5018975138664246,0.7836812138557434,0.7428842186927795,0.7447817921638489,0.7922201156616211,0.2561669945716858,0.5341556072235107,0.8719164729118347,0.6698291897773743,0.6831119656562805,0.6631878614425659,0.722011387348175,0.7457305192947388,0.5142315030097961,0.5151802897453308,0.6935483813285828,0.18690702319145203,0.5806451439857483,0.759013295173645
