,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Classic Sparse ER,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.2549019753932953
Cond Sparse ER w/o Selector,0.29411765933036804,0.29411765933036804,0.3137255012989044,0.30392158031463623,0.3137255012989044,0.29411765933036804,0.3137255012989044,0.3137255012989044,0.46078431606292725,0.3137255012989044,0.3235294222831726,0.3235294222831726,0.29411765933036804,0.29411765933036804,0.30392158031463623,0.3137255012989044,0.3137255012989044,0.3921568691730499,0.3137255012989044,0.3137255012989044,0.3137255012989044,0.3137255012989044,0.29411765933036804,0.30392158031463623,0.29411765933036804,0.3137255012989044,0.3235294222831726,0.3137255012989044,0.30392158031463623,0.3235294222831726,0.3137255012989044,0.3235294222831726,0.46078431606292725,0.3137255012989044,0.3137255012989044,0.29411765933036804,0.3235294222831726,0.3235294222831726,0.3137255012989044,0.3235294222831726,0.3137255012989044,0.30392158031463623,0.29411765933036804,0.3137255012989044,0.3529411852359772,0.46078431606292725,0.3235294222831726,0.3137255012989044,0.3137255012989044,0.29411765933036804
Cond Sparse ER,0.1538461595773697,0.15625,0.16923077404499054,0.1666666716337204,0.1587301641702652,0.15625,0.20338982343673706,0.2063492089509964,0.3265306055545807,0.20000000298023224,0.2063492089509964,0.2063492089509964,0.20000000298023224,0.190476194024086,0.1666666716337204,0.18333333730697632,0.1875,0.25,0.17543859779834747,0.20000000298023224,0.15625,0.1875,0.171875,0.2063492089509964,0.19354838132858276,0.18333333730697632,0.171875,0.17741934955120087,0.18333333730697632,0.20000000298023224,0.16129031777381897,0.19354838132858276,0.2291666716337204,0.17741934955120087,0.16923077404499054,0.16923077404499054,0.2063492089509964,0.190476194024086,0.16129031777381897,0.171875,0.2063492089509964,0.21212121844291687,0.1538461595773697,0.203125,0.2222222238779068,0.2291666716337204,0.171875,0.1587301641702652,0.2112676054239273,0.16923077404499054
Cond SVM ER,0.1846153885126114,0.1875,0.1846153885126114,0.20000000298023224,0.1746031790971756,0.1875,0.22033898532390594,0.2063492089509964,0.2857142984867096,0.23076923191547394,0.1746031790971756,0.190476194024086,0.20000000298023224,0.2063492089509964,0.20000000298023224,0.20000000298023224,0.21875,0.2142857164144516,0.19298245012760162,0.1846153885126114,0.1875,0.21875,0.171875,0.2063492089509964,0.22580644488334656,0.20000000298023224,0.1875,0.19354838132858276,0.20000000298023224,0.20000000298023224,0.19354838132858276,0.19354838132858276,0.2291666716337204,0.19354838132858276,0.1846153885126114,0.1846153885126114,0.2063492089509964,0.2063492089509964,0.19354838132858276,0.1875,0.2063492089509964,0.21212121844291687,0.1846153885126114,0.21875,0.2063492089509964,0.2291666716337204,0.1875,0.1746031790971756,0.2112676054239273,0.1846153885126114
Coverage,0.6372549533843994,0.6274510025978088,0.6372549533843994,0.5882353186607361,0.6176470518112183,0.6274510025978088,0.5784313678741455,0.6176470518112183,0.480392187833786,0.6372549533843994,0.6176470518112183,0.6176470518112183,0.686274528503418,0.6176470518112183,0.5882353186607361,0.5882353186607361,0.6274510025978088,0.5490196347236633,0.5588235259056091,0.6372549533843994,0.6274510025978088,0.6274510025978088,0.6274510025978088,0.6176470518112183,0.6078431606292725,0.5882353186607361,0.6274510025978088,0.6078431606292725,0.5882353186607361,0.5882353186607361,0.6078431606292725,0.6078431606292725,0.4705882668495178,0.6078431606292725,0.6372549533843994,0.6372549533843994,0.6176470518112183,0.6176470518112183,0.6078431606292725,0.6274510025978088,0.6176470518112183,0.6470588445663452,0.6372549533843994,0.6274510025978088,0.6176470518112183,0.4705882668495178,0.6274510025978088,0.6176470518112183,0.6960784792900085,0.6372549533843994
