,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Classic Sparse ER,0.09615384787321091,0.07692307978868484,0.07692307978868484,0.09615384787321091,0.09615384787321091,0.09615384787321091,0.11538462340831757,0.09615384787321091,0.09615384787321091,0.11538462340831757,0.09615384787321091,0.07692307978868484,0.09615384787321091,0.09615384787321091,0.11538462340831757,0.07692307978868484,0.07692307978868484,0.09615384787321091,0.09615384787321091,0.07692307978868484,0.11538462340831757,0.07692307978868484,0.07692307978868484,0.09615384787321091,0.07692307978868484,0.09615384787321091,0.09615384787321091,0.11538462340831757,0.11538462340831757,0.09615384787321091,0.09615384787321091,0.09615384787321091,0.09615384787321091,0.11538462340831757,0.09615384787321091,0.07692307978868484,0.07692307978868484,0.11538462340831757,0.09615384787321091,0.09615384787321091,0.07692307978868484,0.11538462340831757,0.11538462340831757,0.11538462340831757,0.09615384787321091,0.09615384787321091,0.09615384787321091,0.07692307978868484,0.07692307978868484,0.11538462340831757
Cond Sparse ER w/o Selector,0.5,0.2884615361690521,0.46153849363327026,0.46153849363327026,0.21153846383094788,0.48076924681663513,0.38461539149284363,0.5192307829856873,0.5,0.36538463830947876,0.36538463830947876,0.19230769574642181,0.38461539149284363,0.3076923191547394,0.19230769574642181,0.17307692766189575,0.32692310214042664,0.36538463830947876,0.5,0.442307710647583,0.23076924681663513,0.42307692766189575,0.17307692766189575,0.32692310214042664,0.1538461595773697,0.4038461744785309,0.442307710647583,0.17307692766189575,0.4038461744785309,0.32692310214042664,0.4038461744785309,0.5192307829856873,0.42307692766189575,0.36538463830947876,0.46153849363327026,0.32692310214042664,0.3076923191547394,0.5384615659713745,0.634615421295166,0.32692310214042664,0.25,0.3076923191547394,0.46153849363327026,0.442307710647583,0.2884615361690521,0.3076923191547394,0.5576923489570618,0.442307710647583,0.23076924681663513,0.42307692766189575
Cond Sparse ER,0.3461538553237915,0.1428571492433548,0.23999999463558197,0.04545454680919647,0.17391304671764374,0.25,0.3461538553237915,0.2916666567325592,0.25,0.11538461595773697,0.1538461595773697,0.2800000011920929,0.26923078298568726,0.375,0.1599999964237213,0.11999999731779099,0.04545454680919647,0.03846153989434242,0.1666666716337204,0.26923078298568726,0.25,0.3478260934352875,0.13636364042758942,0.26923078298568726,0.11999999731779099,0.22580644488334656,0.4000000059604645,0.13636364042758942,0.3333333432674408,0.24137930572032928,0.23999999463558197,0.3333333432674408,0.23076923191547394,0.25,0.4642857015132904,0.13636364042758942,0.1666666716337204,0.26923078298568726,0.07692307978868484,0.1666666716337204,0.07407407462596893,0.08695652335882187,0.3076923191547394,0.2222222238779068,0.3333333432674408,0.26923078298568726,0.3913043439388275,0.20000000298023224,0.1304347813129425,0.1599999964237213
Cond SVM ER,0.19230769574642181,0.0714285746216774,0.0,0.09090909361839294,0.21739129722118378,0.0833333358168602,0.19230769574642181,0.1666666716337204,0.125,0.03846153989434242,0.0,0.11999999731779099,0.1538461595773697,0.2916666567325592,0.1599999964237213,0.11999999731779099,0.09090909361839294,0.03846153989434242,0.125,0.19230769574642181,0.0714285746216774,0.17391304671764374,0.1818181872367859,0.19230769574642181,0.1599999964237213,0.09677419066429138,0.11999999731779099,0.1818181872367859,0.1428571492433548,0.2068965584039688,0.1599999964237213,0.18518517911434174,0.0,0.0,0.2142857164144516,0.09090909361839294,0.2083333283662796,0.11538461595773697,0.1538461595773697,0.1666666716337204,0.0,0.08695652335882187,0.1538461595773697,0.07407407462596893,0.14814814925193787,0.1538461595773697,0.043478261679410934,0.07999999821186066,0.0,0.0
Coverage,0.5,0.5384615659713745,0.48076924681663513,0.42307692766189575,0.442307710647583,0.46153849363327026,0.5,0.46153849363327026,0.46153849363327026,0.5,0.5,0.48076924681663513,0.5,0.46153849363327026,0.48076924681663513,0.48076924681663513,0.42307692766189575,0.5,0.46153849363327026,0.5,0.5384615659713745,0.442307710647583,0.42307692766189575,0.5,0.48076924681663513,0.5961538553237915,0.48076924681663513,0.42307692766189575,0.4038461744785309,0.5576923489570618,0.48076924681663513,0.5192307829856873,0.5,0.5384615659713745,0.5384615659713745,0.42307692766189575,0.46153849363327026,0.5,0.25,0.46153849363327026,0.5192307829856873,0.442307710647583,0.5,0.5192307829856873,0.5192307829856873,0.5,0.442307710647583,0.48076924681663513,0.442307710647583,0.48076924681663513
