,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Classic Sparse ER,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.234375,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.234375,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.234375,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125,0.23828125
Cond Sparse ER w/o Selector,0.2734375,0.29296875,0.27734375,0.30859375,0.27734375,0.2734375,0.3046875,0.26953125,0.2890625,0.2734375,0.2890625,0.26953125,0.26171875,0.29296875,0.2734375,0.28125,0.28515625,0.30859375,0.26953125,0.28515625,0.28125,0.26953125,0.26171875,0.27734375,0.28515625,0.29296875,0.28515625,0.28125,0.2734375,0.27734375,0.27734375,0.30859375,0.296875,0.28125,0.3046875,0.2890625,0.28515625,0.26953125,0.2734375,0.2734375,0.2734375,0.27734375,0.296875,0.31640625,0.30078125,0.27734375,0.26953125,0.29296875,0.2734375,0.3046875
Cond Sparse ER,0.20645160973072052,0.20000000298023224,0.18881118297576904,0.20588235557079315,0.21710526943206787,0.19333332777023315,0.22516556084156036,0.18493150174617767,0.18571428954601288,0.1527777761220932,0.2083333283662796,0.19736842811107635,0.17687074840068817,0.20279720425605774,0.20645160973072052,0.19178082048892975,0.2344827651977539,0.18705035746097565,0.15217390656471252,0.21052631735801697,0.2068965584039688,0.17687074840068817,0.19205297529697418,0.21088434755802155,0.1875,0.1689189225435257,0.1972789168357849,0.1875,0.20408163964748383,0.20000000298023224,0.19858156144618988,0.1627907007932663,0.25827813148498535,0.1818181872367859,0.18656715750694275,0.2013888955116272,0.2112676054239273,0.1666666716337204,0.16083915531635284,0.20408163964748383,0.22368420660495758,0.1843971610069275,0.16030533611774445,0.18571428954601288,0.25342464447021484,0.21019108593463898,0.1972789168357849,0.2214765101671219,0.1944444477558136,0.17985612154006958
Cond SVM ER,0.20000000298023224,0.1310344785451889,0.139860138297081,0.16911764442920685,0.22368420660495758,0.20000000298023224,0.21854305267333984,0.19178082048892975,0.1428571492433548,0.1458333283662796,0.1319444477558136,0.19736842811107635,0.1972789168357849,0.1958041936159134,0.20645160973072052,0.1438356190919876,0.2068965584039688,0.17985612154006958,0.13768115639686584,0.17763157188892365,0.19310344755649567,0.1428571492433548,0.22516556084156036,0.21088434755802155,0.1319444477558136,0.14864864945411682,0.13605442643165588,0.125,0.20408163964748383,0.1875,0.19148936867713928,0.13953489065170288,0.17218543589115143,0.13286712765693665,0.18656715750694275,0.125,0.15492957830429077,0.1388888955116272,0.13286712765693665,0.21088434755802155,0.20394736528396606,0.1843971610069275,0.15267175436019897,0.16428571939468384,0.2054794579744339,0.2229299396276474,0.1972789168357849,0.20805369317531586,0.2013888955116272,0.158273383975029
Coverage,0.60546875,0.56640625,0.55859375,0.53125,0.59375,0.5859375,0.58984375,0.5703125,0.546875,0.5625,0.5625,0.59375,0.57421875,0.55859375,0.60546875,0.5703125,0.56640625,0.54296875,0.5390625,0.59375,0.56640625,0.57421875,0.58984375,0.57421875,0.5625,0.578125,0.57421875,0.5625,0.57421875,0.625,0.55078125,0.50390625,0.58984375,0.55859375,0.5234375,0.5625,0.5546875,0.5625,0.55859375,0.57421875,0.59375,0.55078125,0.51171875,0.546875,0.5703125,0.61328125,0.57421875,0.58203125,0.5625,0.54296875
